year,place,total_pop,male_pop,female_pop
2020,札幌市,"1,973,395","918,682","1,054,713"
2020,函館市,"251,084","113,965","137,119"
2020,小樽市,"111,299","50,136","61,163"
2020,旭川市,"329,306","152,108","177,198"
2020,室蘭市,"82,383","40,390","41,993"
2020,釧路市,"165,077","77,506","87,571"
2020,帯広市,"166,536","79,623","86,913"
2020,北見市,"115,480","54,729","60,751"
2020,夕張市,"7,334","3,381","3,953"
2020,岩見沢市,"79,306","37,105","42,201"
2020,網走市,"35,759","18,060","17,699"
2020,留萌市,"20,114","9,649","10,465"
2020,苫小牧市,"170,113","83,522","86,591"
2020,稚内市,"33,563","16,651","16,912"
2020,美唄市,"20,413","9,565","10,848"
2020,芦別市,"12,555","5,762","6,793"
2020,江別市,"121,056","57,523","63,533"
2020,赤平市,"9,698","4,388","5,310"
2020,紋別市,"21,215","9,901","11,314"
2020,士別市,"17,858","8,416","9,442"
2020,名寄市,"27,282","13,322","13,960"
2020,三笠市,"8,040","3,631","4,409"
2020,根室市,"24,636","11,762","12,874"
2020,千歳市,"97,950","49,790","48,160"
2020,滝川市,"39,490","18,832","20,658"
2020,砂川市,"16,486","7,607","8,879"
2020,歌志内市,"2,989","1,399","1,590"
2020,深川市,"20,039","9,362","10,677"
2020,富良野市,"21,131","9,947","11,184"
2020,登別市,"46,391","22,146","24,245"
2020,恵庭市,"70,331","34,088","36,243"
2020,伊達市,"32,826","15,176","17,650"
2020,北広島市,"58,171","27,763","30,408"
2020,石狩市,"56,869","27,324","29,545"
2020,北斗市,"44,302","20,542","23,760"
2020,青森市,"275,192","128,049","147,143"
2020,弘前市,"168,466","77,251","91,215"
2020,八戸市,"223,415","106,818","116,597"
2020,黒石市,"31,946","14,789","17,157"
2020,五所川原市,"51,415","23,252","28,163"
2020,十和田市,"60,378","28,685","31,693"
2020,三沢市,"39,152","19,602","19,550"
2020,むつ市,"54,103","26,104","27,999"
2020,つがる市,"30,934","14,363","16,571"
2020,平川市,"30,567","14,188","16,379"
2020,盛岡市,"289,731","136,919","152,812"
2020,宮古市,"50,369","24,381","25,988"
2020,大船渡市,"34,728","16,679","18,049"
2020,花巻市,"93,193","44,423","48,770"
2020,北上市,"93,045","46,852","46,193"
2020,久慈市,"33,043","15,883","17,160"
2020,遠野市,"25,366","12,222","13,144"
2020,一関市,"111,932","54,254","57,678"
2020,陸前高田市,"18,262","8,831","9,431"
2020,釜石市,"32,078","15,369","16,709"
2020,二戸市,"25,513","11,993","13,520"
2020,八幡平市,"24,023","11,509","12,514"
2020,奥州市,"112,937","54,840","58,097"
2020,滝沢市,"55,579","27,146","28,433"
2020,仙台市,"1,096,704","531,617","565,087"
2020,石巻市,"140,151","68,338","71,813"
2020,塩竈市,"52,203","24,877","27,326"
2020,気仙沼市,"61,147","29,905","31,242"
2020,白石市,"32,758","15,976","16,782"
2020,名取市,"78,718","38,567","40,151"
2020,角田市,"27,976","13,797","14,179"
2020,多賀城市,"62,827","31,359","31,468"
2020,岩沼市,"44,068","21,684","22,384"
2020,登米市,"76,037","37,163","38,874"
2020,栗原市,"64,637","31,134","33,503"
2020,東松島市,"39,098","19,089","20,009"
2020,大崎市,"127,330","62,429","64,901"
2020,富谷市,"51,651","25,091","26,560"
2020,秋田市,"307,672","145,411","162,261"
2020,能代市,"49,968","22,932","27,036"
2020,横手市,"85,555","40,326","45,229"
2020,大館市,"69,237","32,551","36,686"
2020,男鹿市,"25,154","11,860","13,294"
2020,湯沢市,"42,091","20,115","21,976"
2020,鹿角市,"29,088","13,684","15,404"
2020,由利本荘市,"74,707","35,842","38,865"
2020,潟上市,"31,720","14,967","16,753"
2020,大仙市,"77,657","36,287","41,370"
2020,北秋田市,"30,198","14,157","16,041"
2020,にかほ市,"23,435","11,218","12,217"
2020,仙北市,"24,610","11,408","13,202"
2020,山形市,"247,590","119,001","128,589"
2020,米沢市,"81,252","40,258","40,994"
2020,鶴岡市,"122,347","58,626","63,721"
2020,酒田市,"100,273","47,838","52,435"
2020,新庄市,"34,432","16,446","17,986"
2020,寒河江市,"40,189","19,529","20,660"
2020,上山市,"29,110","13,909","15,201"
2020,村山市,"22,516","10,937","11,579"
2020,長井市,"26,543","12,953","13,590"
2020,天童市,"62,140","30,222","31,918"
2020,東根市,"47,682","23,525","24,157"
2020,尾花沢市,"14,971","7,320","7,651"
2020,南陽市,"30,420","14,652","15,768"
2020,福島市,"282,693","138,190","144,503"
2020,会津若松市,"117,376","56,063","61,313"
2020,郡山市,"327,692","161,830","165,862"
2020,いわき市,"332,931","163,525","169,406"
2020,白河市,"59,491","29,681","29,810"
2020,須賀川市,"74,992","36,781","38,211"
2020,喜多方市,"44,760","21,438","23,322"
2020,相馬市,"34,865","17,536","17,329"
2020,二本松市,"53,557","26,305","27,252"
2020,田村市,"35,169","17,320","17,849"
2020,南相馬市,"59,005","31,015","27,990"
2020,伊達市,"58,240","28,313","29,927"
2020,本宮市,"30,236","15,018","15,218"
2020,水戸市,"270,685","132,537","138,148"
2020,日立市,"174,508","87,126","87,382"
2020,土浦市,"142,074","70,935","71,139"
2020,古河市,"139,344","69,735","69,609"
2020,石岡市,"73,061","36,167","36,894"
2020,結城市,"50,645","25,441","25,204"
2020,龍ケ崎市,"76,420","37,995","38,425"
2020,下妻市,"42,521","21,412","21,109"
2020,常総市,"60,834","30,465","30,369"
2020,常陸太田市,"48,602","23,705","24,897"
2020,高萩市,"27,699","13,804","13,895"
2020,北茨城市,"41,801","20,760","21,041"
2020,笠間市,"73,173","35,783","37,390"
2020,取手市,"104,524","51,476","53,048"
2020,牛久市,"84,651","41,773","42,878"
2020,つくば市,"241,656","121,043","120,613"
2020,ひたちなか市,"156,581","79,293","77,288"
2020,鹿嶋市,"66,950","34,434","32,516"
2020,潮来市,"27,604","13,672","13,932"
2020,守谷市,"68,421","34,163","34,258"
2020,常陸大宮市,"39,267","19,392","19,875"
2020,那珂市,"53,502","26,047","27,455"
2020,筑西市,"100,753","50,018","50,735"
2020,坂東市,"52,265","26,593","25,672"
2020,稲敷市,"39,039","19,490","19,549"
2020,かすみがうら市,"40,087","20,341","19,746"
2020,桜川市,"39,122","19,359","19,763"
2020,神栖市,"95,454","49,407","46,047"
2020,行方市,"32,185","15,971","16,214"
2020,鉾田市,"45,953","23,376","22,577"
2020,つくばみらい市,"49,872","24,895","24,977"
2020,小美玉市,"48,870","24,591","24,279"
2020,宇都宮市,"518,757","259,616","259,141"
2020,足利市,"144,746","71,405","73,341"
2020,栃木市,"155,549","77,408","78,141"
2020,佐野市,"116,228","57,494","58,734"
2020,鹿沼市,"94,033","46,609","47,424"
2020,日光市,"77,661","37,823","39,838"
2020,小山市,"166,666","84,450","82,216"
2020,真岡市,"78,190","39,482","38,708"
2020,大田原市,"72,087","35,407","36,680"
2020,矢板市,"31,165","15,415","15,750"
2020,那須塩原市,"115,210","57,307","57,903"
2020,さくら市,"44,513","23,102","21,411"
2020,那須烏山市,"24,875","12,379","12,496"
2020,下野市,"59,507","29,453","30,054"
2020,前橋市,"332,149","162,298","169,851"
2020,高崎市,"372,973","182,646","190,327"
2020,桐生市,"106,445","51,392","55,053"
2020,伊勢崎市,"211,850","106,350","105,500"
2020,太田市,"223,014","114,106","108,908"
2020,沼田市,"45,337","21,942","23,395"
2020,館林市,"75,309","37,769","37,540"
2020,渋川市,"74,581","36,363","38,218"
2020,藤岡市,"63,261","30,766","32,495"
2020,富岡市,"47,446","23,403","24,043"
2020,安中市,"54,907","26,848","28,059"
2020,みどり市,"49,648","24,562","25,086"
2020,さいたま市,"1,324,025","652,920","671,105"
2020,川越市,"354,571","177,480","177,091"
2020,熊谷市,"194,415","97,087","97,328"
2020,川口市,"594,274","299,238","295,036"
2020,行田市,"78,617","38,736","39,881"
2020,秩父市,"59,674","29,068","30,606"
2020,所沢市,"342,464","168,197","174,267"
2020,飯能市,"80,361","40,294","40,067"
2020,加須市,"111,623","55,982","55,641"
2020,本庄市,"78,569","39,216","39,353"
2020,東松山市,"91,791","46,187","45,604"
2020,春日部市,"229,792","113,467","116,325"
2020,狭山市,"148,699","74,178","74,521"
2020,羽生市,"52,862","26,142","26,720"
2020,鴻巣市,"116,828","57,673","59,155"
2020,深谷市,"141,268","70,200","71,068"
2020,上尾市,"226,940","112,288","114,652"
2020,草加市,"248,304","125,213","123,091"
2020,越谷市,"341,621","168,747","172,874"
2020,蕨市,"74,283","37,470","36,813"
2020,戸田市,"140,899","71,388","69,511"
2020,入間市,"145,651","71,803","73,848"
2020,朝霞市,"141,083","70,696","70,387"
2020,志木市,"75,346","36,945","38,401"
2020,和光市,"83,989","43,138","40,851"
2020,新座市,"166,017","81,781","84,236"
2020,桶川市,"74,748","36,950","37,798"
2020,久喜市,"150,582","74,607","75,975"
2020,北本市,"65,201","32,214","32,987"
2020,八潮市,"93,363","47,995","45,368"
2020,富士見市,"111,859","54,871","56,988"
2020,三郷市,"142,145","71,486","70,659"
2020,蓮田市,"61,499","30,468","31,031"
2020,坂戸市,"100,275","50,041","50,234"
2020,幸手市,"50,066","24,979","25,087"
2020,鶴ヶ島市,"70,117","34,585","35,532"
2020,日高市,"54,571","26,953","27,618"
2020,吉川市,"71,979","35,800","36,179"
2020,ふじみ野市,"113,597","56,085","57,512"
2020,白岡市,"52,214","25,764","26,450"
2020,千葉市,"974,951","481,246","493,705"
2020,銚子市,"58,431","28,248","30,183"
2020,市川市,"496,676","251,351","245,325"
2020,船橋市,"642,907","318,860","324,047"
2020,館山市,"45,153","21,846","23,307"
2020,木更津市,"136,166","68,450","67,716"
2020,松戸市,"498,232","247,210","251,022"
2020,野田市,"152,638","76,195","76,443"
2020,茂原市,"86,782","42,643","44,139"
2020,成田市,"132,906","66,231","66,675"
2020,佐倉市,"168,743","82,421","86,322"
2020,東金市,"58,219","29,251","28,968"
2020,旭市,"63,745","31,379","32,366"
2020,習志野市,"176,197","87,882","88,315"
2020,柏市,"426,468","210,824","215,644"
2020,勝浦市,"16,927","8,704","8,223"
2020,市原市,"269,524","138,438","131,086"
2020,流山市,"199,849","98,431","101,418"
2020,八千代市,"199,498","97,920","101,578"
2020,我孫子市,"130,510","63,546","66,964"
2020,鴨川市,"32,116","15,224","16,892"
2020,鎌ケ谷市,"109,932","53,592","56,340"
2020,君津市,"82,206","41,928","40,278"
2020,富津市,"42,465","21,529","20,936"
2020,浦安市,"171,362","83,506","87,856"
2020,四街道市,"93,576","46,347","47,229"
2020,袖ケ浦市,"63,883","32,214","31,669"
2020,八街市,"67,455","34,113","33,342"
2020,印西市,"102,609","50,574","52,035"
2020,白井市,"62,441","30,916","31,525"
2020,富里市,"49,735","25,303","24,432"
2020,南房総市,"35,831","17,011","18,820"
2020,匝瑳市,"35,040","17,251","17,789"
2020,香取市,"72,356","35,626","36,730"
2020,山武市,"48,444","24,200","24,244"
2020,いすみ市,"35,544","17,362","18,182"
2020,大網白里市,"48,129","23,549","24,580"
2020,特別区部,"9,733,276","4,774,402","4,958,874"
2020,千代田区,"66,680","33,637","33,043"
2020,中央区,"169,179","80,931","88,248"
2020,港区,"260,486","123,410","137,076"
2020,新宿区,"349,385","174,822","174,563"
2020,文京区,"240,069","115,483","124,586"
2020,台東区,"211,444","108,586","102,858"
2020,墨田区,"272,085","134,787","137,298"
2020,江東区,"524,310","258,015","266,295"
2020,品川区,"422,488","208,688","213,800"
2020,目黒区,"288,088","135,820","152,268"
2020,大田区,"748,081","372,464","375,617"
2020,世田谷区,"943,664","445,592","498,072"
2020,渋谷区,"243,883","117,907","125,976"
2020,中野区,"344,880","172,525","172,355"
2020,杉並区,"591,108","284,301","306,807"
2020,豊島区,"301,599","151,020","150,579"
2020,北区,"355,213","176,289","178,924"
2020,荒川区,"217,475","107,683","109,792"
2020,板橋区,"584,483","286,179","298,304"
2020,練馬区,"752,608","361,770","390,838"
2020,足立区,"695,043","347,408","347,635"
2020,葛飾区,"453,093","225,758","227,335"
2020,江戸川区,"697,932","351,327","346,605"
2020,八王子市,"579,355","291,307","288,048"
2020,立川市,"183,581","91,191","92,390"
2020,武蔵野市,"150,149","71,868","78,281"
2020,三鷹市,"195,391","94,489","100,902"
2020,青梅市,"133,535","66,654","66,881"
2020,府中市,"262,790","131,468","131,322"
2020,昭島市,"113,949","56,639","57,310"
2020,調布市,"242,614","117,044","125,570"
2020,町田市,"431,079","210,533","220,546"
2020,小金井市,"126,074","61,759","64,315"
2020,小平市,"198,739","97,507","101,232"
2020,日野市,"190,435","94,918","95,517"
2020,東村山市,"151,815","73,827","77,988"
2020,国分寺市,"129,242","62,985","66,257"
2020,国立市,"77,130","37,515","39,615"
2020,福生市,"56,414","28,023","28,391"
2020,狛江市,"84,772","41,043","43,729"
2020,東大和市,"83,901","41,034","42,867"
2020,清瀬市,"76,208","36,550","39,658"
2020,東久留米市,"115,271","55,647","59,624"
2020,武蔵村山市,"70,829","35,260","35,569"
2020,多摩市,"146,951","71,611","75,340"
2020,稲城市,"93,151","46,879","46,272"
2020,羽村市,"54,326","27,471","26,855"
2020,あきる野市,"79,292","39,230","40,062"
2020,西東京市,"207,388","100,992","106,396"
2020,横浜市,"3,777,491","1,867,305","1,910,186"
2020,川崎市,"1,538,262","775,772","762,490"
2020,相模原市,"725,493","362,193","363,300"
2020,横須賀市,"388,078","193,513","194,565"
2020,平塚市,"258,422","129,056","129,366"
2020,鎌倉市,"172,710","81,097","91,613"
2020,藤沢市,"436,905","215,596","221,309"
2020,小田原市,"188,856","91,321","97,535"
2020,茅ヶ崎市,"242,389","117,608","124,781"
2020,逗子市,"57,060","26,719","30,341"
2020,三浦市,"42,069","20,142","21,927"
2020,秦野市,"162,439","82,134","80,305"
2020,厚木市,"223,705","115,343","108,362"
2020,大和市,"239,169","119,582","119,587"
2020,伊勢原市,"101,780","51,486","50,294"
2020,海老名市,"136,516","68,631","67,885"
2020,座間市,"132,325","66,001","66,324"
2020,南足柄市,"40,841","20,000","20,841"
2020,綾瀬市,"83,913","42,581","41,332"
2020,新潟市,"789,275","379,741","409,534"
2020,長岡市,"266,936","131,011","135,925"
2020,三条市,"94,642","45,815","48,827"
2020,柏崎市,"81,526","40,556","40,970"
2020,新発田市,"94,927","45,963","48,964"
2020,小千谷市,"34,096","16,830","17,266"
2020,加茂市,"25,441","12,406","13,035"
2020,十日町市,"49,820","24,339","25,481"
2020,見附市,"39,237","19,050","20,187"
2020,村上市,"57,418","27,474","29,944"
2020,燕市,"77,201","37,629","39,572"
2020,糸魚川市,"40,765","20,068","20,697"
2020,妙高市,"30,383","14,740","15,643"
2020,五泉市,"47,625","22,890","24,735"
2020,上越市,"188,047","91,929","96,118"
2020,阿賀野市,"40,696","19,570","21,126"
2020,佐渡市,"51,492","24,881","26,611"
2020,魚沼市,"34,483","16,802","17,681"
2020,南魚沼市,"54,851","26,777","28,074"
2020,胎内市,"28,509","13,959","14,550"
2020,富山市,"413,938","202,281","211,657"
2020,高岡市,"166,393","80,482","85,911"
2020,魚津市,"40,535","19,729","20,806"
2020,氷見市,"43,950","20,883","23,067"
2020,滑川市,"32,349","15,750","16,599"
2020,黒部市,"39,638","19,514","20,124"
2020,砺波市,"48,154","23,419","24,735"
2020,小矢部市,"28,983","13,991","14,992"
2020,南砺市,"47,937","22,940","24,997"
2020,射水市,"90,742","44,253","46,489"
2020,金沢市,"463,254","224,549","238,705"
2020,七尾市,"50,300","23,970","26,330"
2020,小松市,"106,216","52,182","54,034"
2020,輪島市,"24,608","11,714","12,894"
2020,珠洲市,"12,929","5,933","6,996"
2020,加賀市,"63,220","29,939","33,281"
2020,羽咋市,"20,407","9,669","10,738"
2020,かほく市,"34,889","16,875","18,014"
2020,白山市,"110,408","53,670","56,738"
2020,能美市,"48,523","24,129","24,394"
2020,野々市市,"57,238","29,550","27,688"
2020,福井市,"262,328","127,867","134,461"
2020,敦賀市,"64,264","31,785","32,479"
2020,小浜市,"28,991","14,317","14,674"
2020,大野市,"31,286","14,997","16,289"
2020,勝山市,"22,150","10,581","11,569"
2020,鯖江市,"68,302","33,323","34,979"
2020,あわら市,"27,524","13,067","14,457"
2020,越前市,"80,611","39,657","40,954"
2020,坂井市,"88,481","42,719","45,762"
2020,甲府市,"189,591","92,850","96,741"
2020,富士吉田市,"46,530","22,645","23,885"
2020,都留市,"31,016","14,949","16,067"
2020,山梨市,"33,435","16,081","17,354"
2020,大月市,"22,512","10,924","11,588"
2020,韮崎市,"29,067","14,500","14,567"
2020,南アルプス市,"69,459","34,164","35,295"
2020,北杜市,"44,053","21,492","22,561"
2020,甲斐市,"75,313","37,238","38,075"
2020,笛吹市,"66,947","32,447","34,500"
2020,上野原市,"22,669","11,331","11,338"
2020,甲州市,"29,237","14,068","15,169"
2020,中央市,"31,216","15,509","15,707"
2020,長野市,"372,760","181,284","191,476"
2020,松本市,"241,145","118,271","122,874"
2020,上田市,"154,055","75,365","78,690"
2020,岡谷市,"47,790","23,213","24,577"
2020,飯田市,"98,164","47,280","50,884"
2020,諏訪市,"48,729","23,809","24,920"
2020,須坂市,"49,559","24,324","25,235"
2020,小諸市,"40,991","19,972","21,019"
2020,伊那市,"66,125","32,437","33,688"
2020,駒ヶ根市,"32,202","15,729","16,473"
2020,中野市,"42,338","20,552","21,786"
2020,大町市,"26,029","12,594","13,435"
2020,飯山市,"19,539","9,498","10,041"
2020,茅野市,"56,400","28,241","28,159"
2020,塩尻市,"67,241","33,620","33,621"
2020,佐久市,"98,199","48,035","50,164"
2020,千曲市,"58,852","28,404","30,448"
2020,東御市,"30,122","14,776","15,346"
2020,安曇野市,"94,222","45,398","48,824"
2020,岐阜市,"402,557","191,679","210,878"
2020,大垣市,"158,286","76,994","81,292"
2020,高山市,"84,419","40,483","43,936"
2020,多治見市,"106,732","51,437","55,295"
2020,関市,"85,283","41,657","43,626"
2020,中津川市,"76,570","37,414","39,156"
2020,美濃市,"19,247","9,289","9,958"
2020,瑞浪市,"37,150","18,156","18,994"
2020,羽島市,"65,649","32,303","33,346"
2020,恵那市,"47,774","23,138","24,636"
2020,美濃加茂市,"56,689","28,141","28,548"
2020,土岐市,"55,348","26,803","28,545"
2020,各務原市,"144,521","71,220","73,301"
2020,可児市,"99,968","49,202","50,766"
2020,山県市,"25,280","12,184","13,096"
2020,瑞穂市,"56,388","28,105","28,283"
2020,飛騨市,"22,538","10,860","11,678"
2020,本巣市,"32,928","15,936","16,992"
2020,郡上市,"38,997","19,051","19,946"
2020,下呂市,"30,428","14,471","15,957"
2020,海津市,"32,735","16,045","16,690"
2020,静岡市,"693,389","337,812","355,577"
2020,浜松市,"790,718","392,900","397,818"
2020,沼津市,"189,386","93,046","96,340"
2020,熱海市,"34,208","15,438","18,770"
2020,三島市,"107,783","52,421","55,362"
2020,富士宮市,"128,105","63,364","64,741"
2020,伊東市,"65,491","30,668","34,823"
2020,島田市,"95,719","46,725","48,994"
2020,富士市,"245,392","120,694","124,698"
2020,磐田市,"166,672","83,980","82,692"
2020,焼津市,"136,845","66,952","69,893"
2020,掛川市,"114,954","57,655","57,299"
2020,藤枝市,"141,342","68,793","72,549"
2020,御殿場市,"86,614","44,454","42,160"
2020,袋井市,"87,864","44,534","43,330"
2020,下田市,"20,183","9,675","10,508"
2020,裾野市,"50,911","25,773","25,138"
2020,湖西市,"57,885","29,625","28,260"
2020,伊豆市,"28,190","13,342","14,848"
2020,御前崎市,"31,103","15,803","15,300"
2020,菊川市,"47,789","24,173","23,616"
2020,伊豆の国市,"46,804","22,459","24,345"
2020,牧之原市,"43,502","21,414","22,088"
2020,名古屋市,"2,332,176","1,146,669","1,185,507"
2020,豊橋市,"371,920","186,160","185,760"
2020,岡崎市,"384,654","193,719","190,935"
2020,一宮市,"380,073","184,934","195,139"
2020,瀬戸市,"127,792","62,586","65,206"
2020,半田市,"117,884","59,364","58,520"
2020,春日井市,"308,681","152,320","156,361"
2020,豊川市,"184,661","91,964","92,697"
2020,津島市,"60,942","29,664","31,278"
2020,碧南市,"72,458","37,286","35,172"
2020,刈谷市,"153,834","80,203","73,631"
2020,豊田市,"422,330","220,716","201,614"
2020,安城市,"187,990","96,093","91,897"
2020,西尾市,"169,046","85,594","83,452"
2020,蒲郡市,"79,538","39,336","40,202"
2020,犬山市,"73,090","36,240","36,850"
2020,常滑市,"58,710","28,575","30,135"
2020,江南市,"98,255","47,920","50,335"
2020,小牧市,"148,831","75,290","73,541"
2020,稲沢市,"134,751","66,415","68,336"
2020,新城市,"44,355","22,002","22,353"
2020,東海市,"113,787","59,158","54,629"
2020,大府市,"93,123","47,374","45,749"
2020,知多市,"84,364","42,346","42,018"
2020,知立市,"72,193","38,127","34,066"
2020,尾張旭市,"83,144","40,453","42,691"
2020,高浜市,"46,106","23,790","22,316"
2020,岩倉市,"47,983","23,866","24,117"
2020,豊明市,"69,295","35,061","34,234"
2020,日進市,"91,520","45,149","46,371"
2020,田原市,"59,360","30,138","29,222"
2020,愛西市,"60,829","29,536","31,293"
2020,清須市,"67,352","33,520","33,832"
2020,北名古屋市,"86,385","43,041","43,344"
2020,弥富市,"43,025","21,465","21,560"
2020,みよし市,"61,952","32,105","29,847"
2020,あま市,"86,126","42,561","43,565"
2020,長久手市,"60,162","29,144","31,018"
2020,津市,"274,537","133,537","141,000"
2020,四日市市,"305,424","152,669","152,755"
2020,伊勢市,"122,765","58,161","64,604"
2020,松阪市,"159,145","76,360","82,785"
2020,桑名市,"138,613","68,084","70,529"
2020,鈴鹿市,"195,670","97,350","98,320"
2020,名張市,"76,387","36,853","39,534"
2020,尾鷲市,"16,252","7,562","8,690"
2020,亀山市,"49,835","25,161","24,674"
2020,鳥羽市,"17,525","8,255","9,270"
2020,熊野市,"15,965","7,384","8,581"
2020,いなべ市,"44,973","23,106","21,867"
2020,志摩市,"46,057","21,206","24,851"
2020,伊賀市,"88,766","43,446","45,320"
2020,大津市,"345,070","166,673","178,397"
2020,彦根市,"113,647","56,492","57,155"
2020,長浜市,"113,636","55,406","58,230"
2020,近江八幡市,"81,122","39,676","41,446"
2020,草津市,"143,913","72,646","71,267"
2020,守山市,"83,236","40,872","42,364"
2020,栗東市,"68,820","34,110","34,710"
2020,甲賀市,"88,358","44,014","44,344"
2020,野洲市,"50,513","25,121","25,392"
2020,湖南市,"54,460","28,168","26,292"
2020,高島市,"46,377","22,762","23,615"
2020,東近江市,"112,819","56,296","56,523"
2020,米原市,"37,225","18,051","19,174"
2020,京都市,"1,463,723","692,279","771,444"
2020,福知山市,"77,306","38,504","38,802"
2020,舞鶴市,"80,336","40,244","40,092"
2020,綾部市,"31,846","15,239","16,607"
2020,宇治市,"179,630","86,301","93,329"
2020,宮津市,"16,758","7,942","8,816"
2020,亀岡市,"86,174","41,654","44,520"
2020,城陽市,"74,607","35,864","38,743"
2020,向日市,"56,859","27,119","29,740"
2020,長岡京市,"80,608","38,793","41,815"
2020,八幡市,"70,433","34,030","36,403"
2020,京田辺市,"73,753","36,111","37,642"
2020,京丹後市,"50,860","24,357","26,503"
2020,南丹市,"31,629","15,392","16,237"
2020,木津川市,"77,907","37,295","40,612"
2020,大阪市,"2,752,412","1,326,875","1,425,537"
2020,堺市,"826,161","393,961","432,200"
2020,岸和田市,"190,658","90,424","100,234"
2020,豊中市,"401,558","188,931","212,627"
2020,池田市,"104,993","49,992","55,001"
2020,吹田市,"385,567","185,305","200,262"
2020,泉大津市,"74,412","35,224","39,188"
2020,高槻市,"352,698","168,081","184,617"
2020,貝塚市,"84,443","40,482","43,961"
2020,守口市,"143,096","69,204","73,892"
2020,枚方市,"397,289","188,191","209,098"
2020,茨木市,"287,730","138,658","149,072"
2020,八尾市,"264,642","125,858","138,784"
2020,泉佐野市,"100,131","47,828","52,303"
2020,富田林市,"108,699","50,919","57,780"
2020,寝屋川市,"229,733","110,807","118,926"
2020,河内長野市,"101,692","47,392","54,300"
2020,松原市,"117,641","56,535","61,106"
2020,大東市,"119,367","57,939","61,428"
2020,和泉市,"184,495","88,751","95,744"
2020,箕面市,"136,868","64,992","71,876"
2020,柏原市,"68,775","32,955","35,820"
2020,羽曳野市,"108,736","51,034","57,702"
