"","","/都市間移動者数・その他","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数"
"","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","全国・都道府県・市区町村2016,2017","/年齢","15〜19歳","20〜24歳","25〜29歳","15〜19歳","20〜24歳","25〜29歳","15〜19歳","20〜24歳","25〜29歳"
"日本人移動者","全国市部","","11,350","21,432","6,227","5,759","9,238","3,109","5,591","12,194","3,118"
"日本人移動者","全国郡部","","-11,350","-21,432","-6,227","-5,759","-9,238","-3,109","-5,591","-12,194","-3,118"
"日本人移動者","北海道市部","","904","-2,587","-1,261","485","-1,598","-542","419","-989","-719"
"日本人移動者","北海道郡部","","-1,992","-1,858","-48","-1,020","-668","-34","-972","-1,190","-14"
"日本人移動者","札幌市","","1,485","1,643","205","588","463","75","897","1,180","130"
"日本人移動者","函館市","","-325","-322","-169","-213","-153","-59","-112","-169","-110"
"日本人移動者","小樽市","","-16","-333","-192","-21","-189","-58","5","-144","-134"
"日本人移動者","旭川市","","-242","-283","-286","-155","-99","-97","-87","-184","-189"
"日本人移動者","室蘭市","","96","-208","-159","108","-138","-95","-12","-70","-64"
"日本人移動者","釧路市","","-16","-241","-105","11","-83","-50","-27","-158","-55"
"日本人移動者","帯広市","","21","-87","-77","-18","22","-49","39","-109","-28"
"日本人移動者","北見市","","-145","-224","5","-51","-123","0","-94","-101","5"
"日本人移動者","夕張市","","-11","-24","-3","-5","-13","0","-6","-11","-3"
"日本人移動者","岩見沢市","","-29","-189","-84","-5","-95","-38","-24","-94","-46"
"日本人移動者","網走市","","48","-88","-50","37","-53","-25","11","-35","-25"
"日本人移動者","留萌市","","-19","-14","17","8","8","-1","-27","-22","18"
"日本人移動者","苫小牧市","","-159","-75","6","-77","-10","29","-82","-65","-23"
"日本人移動者","稚内市","","-80","44","-24","-30","40","-6","-50","4","-18"
"日本人移動者","美唄市","","-13","-100","-39","2","-35","-20","-15","-65","-19"
"日本人移動者","芦別市","","-20","-52","-22","-12","-25","-5","-8","-27","-17"
"日本人移動者","江別市","","221","-532","-84","137","-330","-54","84","-202","-30"
"日本人移動者","赤平市","","-10","-10","-9","-8","-3","-5","-2","-7","-4"
"日本人移動者","紋別市","","-63","6","17","-42","16","17","-21","-10","0"
"日本人移動者","士別市","","-52","-73","-30","-36","-30","-20","-16","-43","-10"
"日本人移動者","名寄市","","78","-26","12","48","13","9","30","-39","3"
"日本人移動者","三笠市","","-26","-10","6","-10","2","5","-16","-12","1"
"日本人移動者","根室市","","-77","-12","-16","-47","-1","-14","-30","-11","-2"
"日本人移動者","千歳市","","323","-61","-64","235","-92","-72","88","31","8"
"日本人移動者","滝川市","","119","-144","2","96","-108","9","23","-36","-7"
"日本人移動者","砂川市","","-9","-13","-11","-8","-9","4","-1","-4","-15"
"日本人移動者","歌志内市","","-2","-14","-5","-3","-7","-3","1","-7","-2"
"日本人移動者","深川市","","47","-95","-19","46","-48","-3","1","-47","-16"
"日本人移動者","富良野市","","-50","-42","-15","-29","-6","5","-21","-36","-20"
"日本人移動者","登別市","","-2","-204","4","26","-117","9","-28","-87","-5"
"日本人移動者","恵庭市","","74","-205","19","43","-125","-2","31","-80","21"
"日本人移動者","伊達市","","-46","-85","-16","-14","-38","-15","-32","-47","-1"
"日本人移動者","北広島市","","-35","-215","-30","-14","-108","0","-21","-107","-30"
"日本人移動者","石狩市","","-52","-191","-39","-35","-87","-13","-17","-104","-26"
"日本人移動者","北斗市","","-109","-108","-6","-67","-37","0","-42","-71","-6"
"日本人移動者","石狩振興局","","-2","-120","-44","-7","-62","-23","5","-58","-21"
"日本人移動者","渡島総合振興局","","-320","-252","32","-181","-149","11","-139","-103","21"
"日本人移動者","檜山振興局","","-80","-28","1","-44","20","4","-36","-48","-3"
"日本人移動者","後志総合振興局","","-194","-48","52","-90","24","38","-104","-72","14"
"日本人移動者","空知総合振興局","","-140","-257","-46","-82","-81","-37","-58","-176","-9"
"日本人移動者","上川総合振興局","","-149","-184","22","-63","-67","18","-86","-117","4"
"日本人移動者","留萌振興局","","-58","-57","24","-24","-26","19","-34","-31","5"
"日本人移動者","宗谷総合振興局","","-70","25","9","-31","44","22","-39","-19","-13"
"日本人移動者","オホーツク総合振興局","","-275","-196","-36","-127","-96","-36","-148","-100","0"
"日本人移動者","胆振総合振興局","","-61","-120","-7","-54","-57","-6","-7","-63","-1"
"日本人移動者","日高振興局","","-118","-109","-16","-38","-23","-36","-80","-86","20"
"日本人移動者","十勝総合振興局","","-269","-328","-18","-160","-141","-5","-109","-187","-13"
"日本人移動者","釧路総合振興局","","-137","-129","-46","-65","-53","-23","-72","-76","-23"
"日本人移動者","根室振興局","","-119","-55","25","-54","-1","20","-65","-54","5"
"日本人移動者","青森県市部","","-1,522","-1,820","-244","-758","-628","-157","-764","-1,192","-87"
"日本人移動者","青森県郡部","","-659","-730","-76","-361","-247","-26","-298","-483","-50"
"日本人移動者","青森市","","-353","-538","-141","-189","-202","-77","-164","-336","-64"
"日本人移動者","弘前市","","-23","-446","9","2","-168","4","-25","-278","5"
"日本人移動者","八戸市","","-451","-244","-28","-219","-63","-45","-232","-181","17"
"日本人移動者","黒石市","","-73","-82","-17","-42","-44","-16","-31","-38","-1"
"日本人移動者","五所川原市","","-162","-125","0","-107","-49","28","-55","-76","-28"
"日本人移動者","十和田市","","-148","-92","-38","-80","-33","-24","-68","-59","-14"
"日本人移動者","三沢市","","-44","-41","21","-14","-1","-1","-30","-40","22"
"日本人移動者","むつ市","","-129","-54","-3","-41","11","-4","-88","-65","1"
"日本人移動者","つがる市","","-67","-100","-19","-22","-32","-11","-45","-68","-8"
"日本人移動者","平川市","","-72","-98","-28","-46","-47","-11","-26","-51","-17"
"日本人移動者","東津軽郡","","-59","-75","-25","-36","-16","-9","-23","-59","-16"
"日本人移動者","西津軽郡","","-60","-61","-16","-35","-27","-6","-25","-34","-10"
"日本人移動者","中津軽郡","","-4","-6","-3","-3","-3","-2","-1","-3","-1"
"日本人移動者","南津軽郡","","-67","-67","-24","-40","-37","-4","-27","-30","-20"
"日本人移動者","北津軽郡","","-101","-89","-7","-56","-34","-2","-45","-55","-5"
"日本人移動者","上北郡","","-169","-143","46","-91","-21","12","-78","-122","34"
"日本人移動者","下北郡","","-51","-44","-21","-30","-12","-17","-21","-32","-4"
"日本人移動者","三戸郡","","-148","-245","-26","-70","-97","2","-78","-148","-28"
"日本人移動者","岩手県市部","","-1,321","-1,436","-98","-718","-556","34","-603","-880","-132"
"日本人移動者","岩手県郡部","","-376","-574","-77","-175","-273","-53","-201","-301","-24"
"日本人移動者","盛岡市","","-30","-141","-89","-58","-77","1","28","-64","-90"
"日本人移動者","宮古市","","-121","-108","15","-49","-61","11","-72","-47","4"
"日本人移動者","大船渡市","","-92","-37","-2","-57","0","0","-35","-37","-2"
"日本人移動者","花巻市","","-91","-180","-13","-59","-60","-32","-32","-120","19"
"日本人移動者","北上市","","-153","-48","63","-75","4","45","-78","-52","18"
"日本人移動者","久慈市","","-106","-90","-34","-50","-44","-19","-56","-46","-15"
"日本人移動者","遠野市","","-53","-86","-10","-17","-30","-7","-36","-56","-3"
"日本人移動者","一関市","","-264","-171","-42","-147","-75","0","-117","-96","-42"
"日本人移動者","陸前高田市","","-58","-58","-12","-35","-33","-11","-23","-25","-1"
"日本人移動者","釜石市","","-77","-34","26","-33","5","21","-44","-39","5"
"日本人移動者","二戸市","","-73","-30","-1","-45","-8","11","-28","-22","-12"
"日本人移動者","八幡平市","","-46","-101","-21","-18","-41","1","-28","-60","-22"
"日本人移動者","奥州市","","-221","-173","15","-113","-32","8","-108","-141","7"
"日本人移動者","滝沢市","","64","-179","7","38","-104","5","26","-75","2"
"日本人移動者","岩手郡","","-56","-117","-45","-36","-57","-37","-20","-60","-8"
"日本人移動者","紫波郡","","-87","-132","10","-57","-67","11","-30","-65","-1"
"日本人移動者","和賀郡","","-2","-25","-8","-4","-8","0","2","-17","-8"
"日本人移動者","胆沢郡","","36","-79","-10","40","-44","-11","-4","-35","1"
"日本人移動者","西磐井郡","","-18","-16","5","-10","-5","-2","-8","-11","7"
"日本人移動者","気仙郡","","-4","-4","6","2","3","2","-6","-7","4"
"日本人移動者","上閉伊郡","","-7","-37","-4","-6","-13","0","-1","-24","-4"
"日本人移動者","下閉伊郡","","-106","-22","-12","-42","-16","-11","-64","-6","-1"
"日本人移動者","九戸郡","","-109","-107","1","-49","-56","9","-60","-51","-8"
"日本人移動者","二戸郡","","-23","-35","-20","-13","-10","-14","-10","-25","-6"
"日本人移動者","宮城県市部","","311","-57","121","178","15","-93","133","-72","214"
"日本人移動者","宮城県郡部","","-156","-585","-244","-34","-285","-79","-122","-300","-165"
"日本人移動者","仙台市","","1,232","961","57","658","434","-68","574","527","125"
"日本人移動者","石巻市","","-135","-145","-12","-48","-51","-27","-87","-94","15"
"日本人移動者","塩竈市","","-17","-97","-28","-10","-59","-15","-7","-38","-13"
"日本人移動者","気仙沼市","","-164","-87","31","-95","-47","21","-69","-40","10"
"日本人移動者","白石市","","-34","-54","-28","-25","-19","-11","-9","-35","-17"
"日本人移動者","名取市","","-16","-66","54","-21","-43","31","5","-23","23"
"日本人移動者","角田市","","-39","-45","-29","-10","-9","-14","-29","-36","-15"
"日本人移動者","多賀城市","","-6","10","68","36","0","23","-42","10","45"
"日本人移動者","岩沼市","","5","-1","-20","-9","10","-8","14","-11","-12"
"日本人移動者","登米市","","-173","-129","-25","-92","-66","-10","-81","-63","-15"
"日本人移動者","栗原市","","-130","-190","-4","-54","-69","-4","-76","-121","0"
"日本人移動者","東松島市","","-13","0","51","-10","12","27","-3","-12","24"
"日本人移動者","大崎市","","-151","-84","-8","-107","-9","-30","-44","-75","22"
"日本人移動者","富谷市","","-48","-130","14","-35","-69","-8","-13","-61","22"
"日本人移動者","刈田郡","","-14","-31","-10","-6","-17","-3","-8","-14","-7"
"日本人移動者","柴田郡","","88","-126","-44","79","-66","-22","9","-60","-22"
"日本人移動者","伊具郡","","-22","-27","-25","-18","-10","-8","-4","-17","-17"
"日本人移動者","亘理郡","","-46","-73","-26","-17","-42","0","-29","-31","-26"
"日本人移動者","宮城郡","","-43","-207","-85","-22","-93","-47","-21","-114","-38"
"日本人移動者","黒川郡","","-2","70","37","16","12","38","-18","58","-1"
"日本人移動者","加美郡","","-36","-53","-43","-17","-19","-25","-19","-34","-18"
"日本人移動者","遠田郡","","-42","-101","-17","-27","-34","6","-15","-67","-23"
"日本人移動者","牡鹿郡","","-4","5","-11","-2","9","-11","-2","-4","0"
"日本人移動者","本吉郡","","-35","-42","-20","-20","-25","-7","-15","-17","-13"
"日本人移動者","秋田県市部","","-1,552","-1,639","-208","-777","-707","-95","-775","-932","-113"
"日本人移動者","秋田県郡部","","-174","-328","-39","-93","-116","-16","-81","-212","-23"
"日本人移動者","秋田市","","-93","-363","15","-27","-181","5","-66","-182","10"
"日本人移動者","能代市","","-180","-105","-4","-97","-43","-2","-83","-62","-2"
"日本人移動者","横手市","","-222","-154","-18","-114","-62","-11","-108","-92","-7"
"日本人移動者","大館市","","-170","-122","17","-102","-57","22","-68","-65","-5"
"日本人移動者","男鹿市","","-38","-46","-25","-17","-13","-20","-21","-33","-5"
"日本人移動者","湯沢市","","-116","-158","-15","-56","-68","-2","-60","-90","-13"
"日本人移動者","鹿角市","","-99","-55","-3","-39","-21","-3","-60","-34","0"
"日本人移動者","由利本荘市","","-138","-229","-23","-57","-127","-13","-81","-102","-10"
"日本人移動者","潟上市","","-64","-58","-14","-37","-18","-6","-27","-40","-8"
"日本人移動者","大仙市","","-166","-145","-68","-94","-57","-24","-72","-88","-44"
"日本人移動者","北秋田市","","-106","-74","-7","-62","-19","-9","-44","-55","2"
"日本人移動者","にかほ市","","-80","-64","-47","-32","-13","-20","-48","-51","-27"
"日本人移動者","仙北市","","-80","-66","-16","-43","-28","-12","-37","-38","-4"
"日本人移動者","鹿角郡","","-19","-10","-4","-10","1","-7","-9","-11","3"
"日本人移動者","北秋田郡","","-7","-10","0","-5","-5","0","-2","-5","0"
"日本人移動者","山本郡","","-65","-83","-27","-35","-23","-14","-30","-60","-13"
"日本人移動者","南秋田郡","","5","-118","1","1","-53","9","4","-65","-8"
"日本人移動者","仙北郡","","-30","-58","-9","-15","-9","-10","-15","-49","1"
"日本人移動者","雄勝郡","","-58","-49","0","-29","-27","6","-29","-22","-6"
"日本人移動者","山形県市部","","-881","-1,425","6","-485","-601","-10","-396","-824","16"
"日本人移動者","山形県郡部","","-483","-547","-122","-272","-243","-42","-211","-304","-80"
"日本人移動者","山形市","","11","-259","71","-25","-109","75","36","-150","-4"
"日本人移動者","米沢市","","-13","-222","-48","-21","-64","-40","8","-158","-8"
"日本人移動者","鶴岡市","","-224","-282","-19","-90","-154","-14","-134","-128","-5"
"日本人移動者","酒田市","","-335","-50","49","-192","-10","17","-143","-40","32"
"日本人移動者","新庄市","","-48","-101","15","-24","-61","8","-24","-40","7"
"日本人移動者","寒河江市","","-60","-66","4","-37","-9","0","-23","-57","4"
"日本人移動者","上山市","","-35","-55","-5","-19","-12","-9","-16","-43","4"
"日本人移動者","村山市","","-23","-78","-59","-13","-30","-38","-10","-48","-21"
"日本人移動者","長井市","","-39","-74","-24","-23","-44","-3","-16","-30","-21"
"日本人移動者","天童市","","-62","-68","84","-44","-16","47","-18","-52","37"
"日本人移動者","東根市","","36","-72","-21","43","-50","-29","-7","-22","8"
"日本人移動者","尾花沢市","","-42","-51","-33","-23","-21","-14","-19","-30","-19"
"日本人移動者","南陽市","","-47","-47","-8","-17","-21","-10","-30","-26","2"
"日本人移動者","東村山郡","","-29","-58","-6","-21","-33","8","-8","-25","-14"
"日本人移動者","西村山郡","","-59","-93","-36","-33","-57","-15","-26","-36","-21"
"日本人移動者","北村山郡","","-17","-33","-9","-13","-20","-5","-4","-13","-4"
"日本人移動者","最上郡","","-131","-143","-34","-73","-64","-23","-58","-79","-11"
"日本人移動者","東置賜郡","","-59","-91","-33","-40","-38","-14","-19","-53","-19"
"日本人移動者","西置賜郡","","-74","-74","-25","-35","-25","-10","-39","-49","-15"
"日本人移動者","東田川郡","","-72","-26","29","-32","1","24","-40","-27","5"
"日本人移動者","飽海郡","","-42","-29","-8","-25","-7","-7","-17","-22","-1"
"日本人移動者","福島県市部","","-1,258","-2,292","-154","-584","-860","23","-674","-1,432","-177"
"日本人移動者","福島県郡部","","-442","-990","-224","-242","-397","-98","-200","-593","-126"
"日本人移動者","福島市","","-36","-544","-81","-4","-218","-54","-32","-326","-27"
"日本人移動者","会津若松市","","-207","-169","28","-101","-52","22","-106","-117","6"
"日本人移動者","郡山市","","-41","-276","23","2","-111","40","-43","-165","-17"
"日本人移動者","いわき市","","-314","-366","16","-138","-119","49","-176","-247","-33"
"日本人移動者","白河市","","-63","-117","-2","-18","-55","-9","-45","-62","7"
"日本人移動者","須賀川市","","-77","-192","-14","-39","-109","3","-38","-83","-17"
"日本人移動者","喜多方市","","-113","-77","-2","-59","-21","6","-54","-56","-8"
"日本人移動者","相馬市","","-40","-38","14","-13","-5","21","-27","-33","-7"
"日本人移動者","二本松市","","-102","-124","-37","-67","-46","-12","-35","-78","-25"
"日本人移動者","田村市","","-45","-89","-42","-26","-32","-24","-19","-57","-18"
"日本人移動者","南相馬市","","-115","-63","-9","-59","-9","7","-56","-54","-16"
"日本人移動者","伊達市","","-75","-181","-42","-47","-67","-15","-28","-114","-27"
"日本人移動者","本宮市","","-30","-56","-6","-15","-16","-11","-15","-40","5"
"日本人移動者","伊達郡","","-16","-127","-22","-23","-52","-14","7","-75","-8"
"日本人移動者","安達郡","","-4","-1","30","-4","-4","19","0","3","11"
"日本人移動者","岩瀬郡","","-12","-39","-12","-7","-20","-9","-5","-19","-3"
"日本人移動者","南会津郡","","-61","-88","-14","-23","-37","-4","-38","-51","-10"
"日本人移動者","耶麻郡","","-63","-66","-18","-37","-18","-9","-26","-48","-9"
"日本人移動者","河沼郡","","-43","-82","-30","-21","-42","-11","-22","-40","-19"
"日本人移動者","大沼郡","","-19","-56","-28","-5","-22","-10","-14","-34","-18"
"日本人移動者","西白河郡","","-29","-67","31","-21","-18","4","-8","-49","27"
"日本人移動者","東白川郡","","-65","-85","-25","-29","-32","-16","-36","-53","-9"
"日本人移動者","石川郡","","-56","-115","-71","-31","-42","-26","-25","-73","-45"
"日本人移動者","田村郡","","-21","-84","-2","-15","-26","-2","-6","-58","0"
"日本人移動者","双葉郡","","-40","-138","-71","-18","-67","-16","-22","-71","-55"
"日本人移動者","相馬郡","","-13","-42","8","-8","-17","-4","-5","-25","12"
"日本人移動者","茨城県市部","","-451","-3,067","-786","-187","-1,137","-419","-264","-1,930","-367"
"日本人移動者","茨城県郡部","","-93","-560","-338","-44","-235","-137","-49","-325","-201"
"日本人移動者","水戸市","","-44","55","164","-60","51","77","16","4","87"
"日本人移動者","日立市","","-66","-273","-328","4","-69","-212","-70","-204","-116"
"日本人移動者","土浦市","","17","48","-47","-13","59","-42","30","-11","-5"
"日本人移動者","古河市","","17","-123","-103","10","-49","-29","7","-74","-74"
"日本人移動者","石岡市","","-66","-165","-44","-30","-48","-13","-36","-117","-31"
"日本人移動者","結城市","","-12","-78","0","-3","-46","1","-9","-32","-1"
"日本人移動者","龍ケ崎市","","20","-236","-123","46","-125","-79","-26","-111","-44"
"日本人移動者","下妻市","","-49","-8","-61","-26","23","-9","-23","-31","-52"
"日本人移動者","常総市","","-32","-96","-76","-12","-50","-23","-20","-46","-53"
"日本人移動者","常陸太田市","","-73","-204","-57","-43","-93","-27","-30","-111","-30"
"日本人移動者","高萩市","","-45","-48","-73","-31","4","-39","-14","-52","-34"
"日本人移動者","北茨城市","","-47","-114","-25","-32","-53","-7","-15","-61","-18"
"日本人移動者","笠間市","","-72","-155","-84","-47","-61","-35","-25","-94","-49"
"日本人移動者","取手市","","-14","-110","-58","-16","-70","-42","2","-40","-16"
"日本人移動者","牛久市","","34","-14","-41","29","5","6","5","-19","-47"
"日本人移動者","つくば市","","466","-293","221","252","-172","81","214","-121","140"
"日本人移動者","ひたちなか市","","-107","-87","242","-50","28","124","-57","-115","118"
"日本人移動者","鹿嶋市","","38","-64","-29","37","-19","-32","1","-45","3"
"日本人移動者","潮来市","","-23","-64","-2","-3","-18","-6","-20","-46","4"
"日本人移動者","守谷市","","-7","-57","136","8","-31","95","-15","-26","41"
"日本人移動者","常陸大宮市","","-44","-106","-56","-27","-45","-23","-17","-61","-33"
"日本人移動者","那珂市","","-41","-70","50","-30","-36","17","-11","-34","33"
"日本人移動者","筑西市","","-64","-170","-149","-43","-59","-66","-21","-111","-83"
"日本人移動者","坂東市","","-12","-133","-49","-8","-58","-29","-4","-75","-20"
"日本人移動者","稲敷市","","-38","-144","-68","-9","-84","-37","-29","-60","-31"
"日本人移動者","かすみがうら市","","-18","-11","-50","-23","-9","-23","5","-2","-27"
"日本人移動者","桜川市","","-38","-138","-68","-16","-81","-45","-22","-57","-23"
"日本人移動者","神栖市","","-36","22","127","-6","57","69","-30","-35","58"
"日本人移動者","行方市","","-40","-67","-59","-26","-22","-36","-14","-45","-23"
"日本人移動者","鉾田市","","-50","-103","-65","-31","-51","-23","-19","-52","-42"
"日本人移動者","つくばみらい市","","3","9","63","-2","16","38","5","-7","25"
"日本人移動者","小美玉市","","-8","-70","-74","14","-31","-50","-22","-39","-24"
"日本人移動者","東茨城郡","","16","-185","-101","23","-100","-56","-7","-85","-45"
"日本人移動者","那珂郡","","-27","-29","-26","-20","9","-11","-7","-38","-15"
"日本人移動者","久慈郡","","-35","-62","-33","-23","-33","-20","-12","-29","-13"
"日本人移動者","稲敷郡","","-3","-157","-56","-6","-64","-14","3","-93","-42"
"日本人移動者","結城郡","","-22","-54","-50","-11","-22","-19","-11","-32","-31"
"日本人移動者","猿島郡","","-6","-43","-42","2","-8","-14","-8","-35","-28"
"日本人移動者","北相馬郡","","-16","-30","-30","-9","-17","-3","-7","-13","-27"
"日本人移動者","栃木県市部","","-466","-1,349","-5","-232","-320","-42","-234","-1,029","37"
"日本人移動者","栃木県郡部","","-184","-323","-269","-59","-105","-121","-125","-218","-148"
"日本人移動者","宇都宮市","","-1","235","304","36","338","96","-37","-103","208"
"日本人移動者","足利市","","-67","-197","-127","-34","-59","-73","-33","-138","-54"
"日本人移動者","栃木市","","-63","-223","-99","-28","-77","-61","-35","-146","-38"
"日本人移動者","佐野市","","-49","-150","-39","-25","-66","-12","-24","-84","-27"
"日本人移動者","鹿沼市","","-54","-198","-36","-30","-95","-21","-24","-103","-15"
"日本人移動者","日光市","","-62","-170","-75","-42","-82","-34","-20","-88","-41"
"日本人移動者","小山市","","25","-98","66","13","-45","32","12","-53","34"
"日本人移動者","真岡市","","-45","-72","110","-29","-38","54","-16","-34","56"
"日本人移動者","大田原市","","-33","-126","-36","-26","-68","-22","-7","-58","-14"
"日本人移動者","矢板市","","-29","-58","-33","-23","-9","-11","-6","-49","-22"
"日本人移動者","那須塩原市","","-123","-75","-8","-49","0","32","-74","-75","-40"
"日本人移動者","さくら市","","-11","-28","26","-7","-20","8","-4","-8","18"
"日本人移動者","那須烏山市","","-41","-77","-45","-21","-34","-19","-20","-43","-26"
"日本人移動者","下野市","","87","-112","-13","33","-65","-11","54","-47","-2"
"日本人移動者","河内郡","","-7","-33","13","6","-14","14","-13","-19","-1"
"日本人移動者","芳賀郡","","-65","-116","-113","-21","-37","-52","-44","-79","-61"
"日本人移動者","下都賀郡","","-30","-73","-3","-15","-40","17","-15","-33","-20"
"日本人移動者","塩谷郡","","-33","15","-99","-11","48","-68","-22","-33","-31"
"日本人移動者","那須郡","","-49","-116","-67","-18","-62","-32","-31","-54","-35"
"日本人移動者","群馬県市部","","-129","-2,227","-369","77","-1,075","-143","-206","-1,152","-226"
"日本人移動者","群馬県郡部","","-87","-712","-329","-33","-258","-187","-54","-454","-142"
"日本人移動者","前橋市","","-35","-285","-145","-8","-122","-102","-27","-163","-43"
"日本人移動者","高崎市","","242","-575","176","161","-335","96","81","-240","80"
"日本人移動者","桐生市","","-50","-273","-140","-27","-124","-80","-23","-149","-60"
"日本人移動者","伊勢崎市","","4","-155","42","36","-94","58","-32","-61","-16"
"日本人移動者","太田市","","38","-79","48","105","-33","11","-67","-46","37"
"日本人移動者","沼田市","","-66","-146","-47","-38","-68","-13","-28","-78","-34"
"日本人移動者","館林市","","-53","-133","-29","-34","-49","-15","-19","-84","-14"
"日本人移動者","渋川市","","-58","-148","-94","-29","-78","-43","-29","-70","-51"
"日本人移動者","藤岡市","","-45","-117","-48","-25","-43","-10","-20","-74","-38"
"日本人移動者","富岡市","","-55","-103","-68","-27","-27","-40","-28","-76","-28"
"日本人移動者","安中市","","-41","-165","-60","-33","-71","-14","-8","-94","-46"
"日本人移動者","みどり市","","-10","-48","-4","-4","-31","9","-6","-17","-13"
"日本人移動者","北群馬郡","","9","-41","-10","16","-29","-21","-7","-12","11"
"日本人移動者","多野郡","","-6","4","2","-5","5","1","-1","-1","1"
"日本人移動者","甘楽郡","","-25","-83","-20","-16","-40","-14","-9","-43","-6"
"日本人移動者","吾妻郡","","-40","-217","-97","-35","-81","-56","-5","-136","-41"
"日本人移動者","利根郡","","-30","-136","-46","-9","-61","-27","-21","-75","-19"
"日本人移動者","佐波郡","","-7","-91","-62","-12","-28","-29","5","-63","-33"
"日本人移動者","邑楽郡","","12","-148","-96","28","-24","-41","-16","-124","-55"
"日本人移動者","埼玉県市部","","2,690","3,670","940","1,332","1,354","828","1,358","2,316","112"
"日本人移動者","埼玉県郡部","","2","-1,025","-796","21","-590","-393","-19","-435","-403"
"日本人移動者","さいたま市","","845","2,042","1,365","475","899","609","370","1,143","756"
"日本人移動者","川越市","","272","10","-44","141","-27","32","131","37","-76"
"日本人移動者","熊谷市","","31","-240","-148","23","-68","-83","8","-172","-65"
"日本人移動者","川口市","","187","986","288","98","500","253","89","486","35"
"日本人移動者","行田市","","-41","-111","-99","-15","-76","-51","-26","-35","-48"
"日本人移動者","秩父市","","-58","-197","-30","-30","-90","-10","-28","-107","-20"
"日本人移動者","所沢市","","321","16","-184","96","-34","-80","225","50","-104"
"日本人移動者","飯能市","","11","-180","-53","9","-95","-22","2","-85","-31"
"日本人移動者","加須市","","-37","-232","-106","-21","-121","-35","-16","-111","-71"
"日本人移動者","本庄市","","-20","-93","19","-17","-38","23","-3","-55","-4"
"日本人移動者","東松山市","","66","-133","0","41","-57","22","25","-76","-22"
"日本人移動者","春日部市","","-44","-54","-159","-15","-71","-82","-29","17","-77"
"日本人移動者","狭山市","","41","-51","-162","25","-24","-86","16","-27","-76"
"日本人移動者","羽生市","","-20","-84","-54","-20","-43","-19","0","-41","-35"
"日本人移動者","鴻巣市","","11","-144","-86","2","-97","-34","9","-47","-52"
